step,episode,reward,epsilon,loss,duration
451462,377,-11.0,0.01,0.006464540398544596,4.78847074508667
453660,378,-11.0,0.01,0.006966493575495075,4.888159275054932
455441,379,-20.0,0.01,0.007155969428693813,4.1610541343688965
456595,380,-17.0,0.01,0.00812097720497857,2.6861255168914795
458624,381,-10.0,0.01,0.007702370596349269,4.555098295211792
460952,382,-7.0,0.01,0.007552519282630142,5.263274908065796
463595,383,-5.0,0.01,0.007724973617763625,5.822604417800903
465977,384,-6.0,0.01,0.006886595195423399,5.159825325012207
468158,385,-8.0,0.01,0.007484910665549884,4.7538001537323
470724,386,-5.0,0.01,0.007091505801329836,5.73420524597168
472569,387,-17.0,0.01,0.006842724436494055,4.034992456436157
474168,388,-19.0,0.01,0.00708595579752,3.5324668884277344
476194,389,-16.0,0.01,0.007342604025986723,4.5909812450408936
478212,390,-12.0,0.01,0.007507490058023814,4.408848524093628
480283,391,-10.0,0.01,0.007553533663769654,4.6241538524627686
481322,392,-20.0,0.01,0.007565090925289461,2.2868385314941406
482428,393,-18.0,0.01,0.007262809372285132,2.37589693069458
484003,394,-18.0,0.01,0.00778489705274692,3.704124927520752
486848,395,-11.0,0.01,0.00853179404976401,6.411150217056274
488664,396,-14.0,0.01,0.0085723776373364,4.005106210708618
490199,397,-15.0,0.01,0.00759731778235469,3.2735650539398193
492191,398,-14.0,0.01,0.007541256704522918,4.282621145248413
493599,399,-18.0,0.01,0.009035823703346647,3.011091709136963
495562,400,-14.0,0.01,0.009264528926826119,4.235719203948975
497567,401,-15.0,0.01,0.009126682372618756,4.296324729919434
498599,402,-19.0,0.01,0.008328644917508976,2.2043251991271973
